,ID,Name,Sex,Age,Height,Weight,Team,NOC,Games,Year,Season,City,Sport,Event,Medal
121,17348,David Cal Figueroa,M,25.0,183.0,86.0,Spain,ESP,2008 Summer,2008,Summer,Beijing,Canoeing,"Canoeing Men's Canadian Singles, 1,000 metres",Silver
122,17348,David Cal Figueroa,M,29.0,183.0,86.0,Spain,ESP,2012 Summer,2012,Summer,London,Canoeing,"Canoeing Men's Canadian Singles, 1,000 metres",Silver
123,17430,Anton Calenic,M,25.0,181.0,78.0,Romania,ROU,1968 Summer,1968,Summer,Mexico City,Canoeing,"Canoeing Men's Kayak Fours, 1,000 metres",Silver
124,18095,Petre Capusta,M,23.0,171.0,77.0,Romania,ROU,1980 Summer,1980,Summer,Moskva,Canoeing,"Canoeing Men's Canadian Doubles, 500 metres",Silver
129,19865,Michel Chapuis,M,23.0,176.0,69.0,France,FRA,1964 Summer,1964,Summer,Tokyo,Canoeing,"Canoeing Men's Canadian Doubles, 1,000 metres",Silver
143,22457,"Daniel James ""Danny"" Collins",M,29.0,190.0,100.0,Australia,AUS,2000 Summer,2000,Summer,Sydney,Canoeing,"Canoeing Men's Kayak Doubles, 500 metres",Silver
145,23541,Serghei Covaliov,M,27.0,172.0,75.0,Romania,ROU,1972 Summer,1972,Summer,Munich,Canoeing,"Canoeing Men's Canadian Doubles, 1,000 metres",Silver
149,23703,Sal Craviotto Rivero,M,27.0,192.0,98.0,Spain,ESP,2012 Summer,2012,Summer,London,Canoeing,"Canoeing Men's Kayak Singles, 200 metres",Silver
153,24079,Gza Csap,M,25.0,183.0,82.0,Hungary,HUN,1976 Summer,1976,Summer,Montreal,Canoeing,"Canoeing Men's Kayak Singles, 1,000 metres",Silver
156,24124,Ferenc Csipes,M,27.0,183.0,90.0,Hungary,HUN,1992 Summer,1992,Summer,Barcelona,Canoeing,"Canoeing Men's Kayak Fours, 1,000 metres",Silver
157,24124,Ferenc Csipes,M,31.0,183.0,90.0,Hungary,HUN,1996 Summer,1996,Summer,Atlanta,Canoeing,"Canoeing Men's Kayak Fours, 1,000 metres",Silver
161,24375,Sylvain Georges Michel Curinier,M,23.0,180.0,67.0,France,FRA,1992 Summer,1992,Summer,Barcelona,Canoeing,"Canoeing Men's Kayak Singles, Slalom",Silver
164,25213,Gheorghe Danielov,M,28.0,175.0,78.0,Romania,ROU,1976 Summer,1976,Summer,Montreal,Canoeing,"Canoeing Men's Canadian Doubles, 1,000 metres",Silver
165,25622,Grant Jon Davies,M,25.0,173.0,80.0,Australia,AUS,1988 Summer,1988,Summer,Seoul,Canoeing,"Canoeing Men's Kayak Singles, 1,000 metres",Silver
169,27140,Guillermo del Riego Gordn,M,21.0,175.0,73.0,Spain,ESP,1980 Summer,1980,Summer,Moskva,Canoeing,"Canoeing Men's Kayak Doubles, 500 metres",Silver
171,27446,Jzsef Deme,M,20.0,190.0,84.0,Hungary,HUN,1972 Summer,1972,Summer,Munich,Canoeing,"Canoeing Men's Kayak Doubles, 1,000 metres",Silver
172,27528,Valentin Demyanenko,M,32.0,193.0,93.0,Azerbaijan,AZE,2016 Summer,2016,Summer,Rio de Janeiro,Canoeing,"Canoeing Men's Canadian Singles, 200 metres",Silver
173,27605,Viktor Viktorovich Denisov,M,22.0,188.0,90.0,Soviet Union,URS,1988 Summer,1988,Summer,Seoul,Canoeing,"Canoeing Men's Kayak Doubles, 500 metres",Silver
174,27605,Viktor Viktorovich Denisov,M,22.0,188.0,90.0,Soviet Union,URS,1988 Summer,1988,Summer,Seoul,Canoeing,"Canoeing Men's Kayak Fours, 1,000 metres",Silver
177,28011,Aldo Dezi,M,21.0,165.0,67.0,Italy,ITA,1960 Summer,1960,Summer,Roma,Canoeing,"Canoeing Men's Canadian Doubles, 1,000 metres",Silver
181,28308,Vasile Dba,M,25.0,182.0,86.0,Romania,ROU,1980 Summer,1980,Summer,Moskva,Canoeing,"Canoeing Men's Kayak Fours, 1,000 metres",Silver
184,28483,Tina Dietze,F,24.0,172.0,68.0,Germany,GER,2012 Summer,2012,Summer,London,Canoeing,"Canoeing Women's Kayak Fours, 500 metres",Silver
185,28483,Tina Dietze,F,28.0,172.0,68.0,Germany,GER,2016 Summer,2016,Summer,Rio de Janeiro,Canoeing,"Canoeing Women's Kayak Doubles, 500 metres",Silver
186,28483,Tina Dietze,F,28.0,172.0,68.0,Germany,GER,2016 Summer,2016,Summer,Rio de Janeiro,Canoeing,"Canoeing Women's Kayak Fours, 500 metres",Silver
191,28781,Andreas Dittmer,M,32.0,183.0,83.0,Germany,GER,2004 Summer,2004,Summer,Athina,Canoeing,"Canoeing Men's Canadian Singles, 1,000 metres",Silver
197,29455,Marek Franciszek Dopieraa,M,28.0,181.0,75.0,Poland,POL,1988 Summer,1988,Summer,Seoul,Canoeing,"Canoeing Men's Canadian Doubles, 500 metres",Silver
200,29627,Josef Dostl,M,23.0,202.0,115.0,Czech Republic,CZE,2016 Summer,2016,Summer,Rio de Janeiro,Canoeing,"Canoeing Men's Kayak Singles, 1,000 metres",Silver
205,29663,Natasa Douchev-Janics,F,26.0,174.0,68.0,Hungary,HUN,2008 Summer,2008,Summer,Beijing,Canoeing,"Canoeing Women's Kayak Fours, 500 metres",Silver
207,29663,Natasa Douchev-Janics,F,30.0,174.0,68.0,Hungary,HUN,2012 Summer,2012,Summer,London,Canoeing,"Canoeing Women's Kayak Doubles, 500 metres",Silver
219,31234,Martin Henri Eberhardt,M,22.0,186.0,100.0,France,FRA,1936 Summer,1936,Summer,Berlin,Canoeing,"Canoeing Men's Folding Kayak Singles, 10 kilometres",Silver
225,31683,Sabine Eichenberger,F,27.0,170.0,70.0,Switzerland,SUI,1996 Summer,1996,Summer,Atlanta,Canoeing,"Canoeing Women's Kayak Fours, 500 metres",Silver
228,33091,Nicuor Eanu,M,25.0,185.0,84.0,Romania,ROU,1980 Summer,1980,Summer,Moskva,Canoeing,"Canoeing Men's Kayak Fours, 1,000 metres",Silver
236,33286,Jos Mara Esteban Celorrio,M,22.0,178.0,77.0,Spain,ESP,1976 Summer,1976,Summer,Montreal,Canoeing,"Canoeing Men's Kayak Fours, 1,000 metres",Silver
247,34697,Ian Gordon Ferguson,M,36.0,179.0,85.0,New Zealand,NZL,1988 Summer,1988,Summer,Seoul,Canoeing,"Canoeing Men's Kayak Doubles, 1,000 metres",Silver
250,35166,Lszl Fidel,M,27.0,187.0,85.0,Hungary,HUN,1992 Summer,1992,Summer,Barcelona,Canoeing,"Canoeing Men's Kayak Fours, 1,000 metres",Silver
255,35550,Birgit Fischer-Schmidt,F,26.0,172.0,69.0,East Germany,GDR,1988 Summer,1988,Summer,Seoul,Canoeing,"Canoeing Women's Kayak Singles, 500 metres",Silver
259,35550,Birgit Fischer-Schmidt,F,30.0,172.0,69.0,Germany,GER,1992 Summer,1992,Summer,Barcelona,Canoeing,"Canoeing Women's Kayak Fours, 500 metres",Silver
260,35550,Birgit Fischer-Schmidt,F,34.0,172.0,69.0,Germany,GER,1996 Summer,1996,Summer,Atlanta,Canoeing,"Canoeing Women's Kayak Doubles, 500 metres",Silver
264,35550,Birgit Fischer-Schmidt,F,42.0,172.0,69.0,Germany,GER,2004 Summer,2004,Summer,Athina,Canoeing,"Canoeing Women's Kayak Doubles, 500 metres",Silver
270,35890,David Florence,M,25.0,188.0,76.0,Great Britain,GBR,2008 Summer,2008,Summer,Beijing,Canoeing,"Canoeing Men's Canadian Singles, Slalom",Silver
271,35890,David Florence,M,29.0,188.0,76.0,Great Britain-2,GBR,2012 Summer,2012,Summer,London,Canoeing,"Canoeing Men's Canadian Doubles, Slalom",Silver
272,35890,David Florence,M,33.0,188.0,76.0,Great Britain,GBR,2016 Summer,2016,Summer,Rio de Janeiro,Canoeing,"Canoeing Men's Canadian Doubles, Slalom",Silver
278,36496,"Benjamin John ""Ben"" Fouhy",M,25.0,183.0,87.0,New Zealand,NZL,2004 Summer,2004,Summer,Athina,Canoeing,"Canoeing Men's Kayak Singles, 1,000 metres",Silver
279,36566,Francine Anne Fox,F,15.0,170.0,66.0,United States,USA,1964 Summer,1964,Summer,Tokyo,Canoeing,"Canoeing Women's Kayak Doubles, 500 metres",Silver
280,36567,"Jessica Esther ""Jess"" Fox",F,18.0,166.0,60.0,Australia,AUS,2012 Summer,2012,Summer,London,Canoeing,"Canoeing Women's Kayak Singles, Slalom",Silver
