,ID,Name,Sex,Age,Height,Weight,Team,NOC,Games,Year,Season,City,Sport,Event,Medal
501,63400,Katalin Kovcs,F,24.0,173.0,64.0,Hungary,HUN,2000 Summer,2000,Summer,Sydney,Canoeing,"Canoeing Women's Kayak Fours, 500 metres",Silver
503,63400,Katalin Kovcs,F,28.0,173.0,64.0,Hungary,HUN,2004 Summer,2004,Summer,Athina,Canoeing,"Canoeing Women's Kayak Fours, 500 metres",Silver
505,63400,Katalin Kovcs,F,32.0,173.0,64.0,Hungary,HUN,2008 Summer,2008,Summer,Beijing,Canoeing,"Canoeing Women's Kayak Fours, 500 metres",Silver
506,63400,Katalin Kovcs,F,36.0,173.0,64.0,Hungary,HUN,2012 Summer,2012,Summer,London,Canoeing,"Canoeing Women's Kayak Doubles, 500 metres",Silver
509,63457,Aleksandr Vladimirovich Kovalyov,M,29.0,170.0,70.0,Russia,RUS,2004 Summer,2004,Summer,Athina,Canoeing,"Canoeing Men's Canadian Doubles, 1,000 metres",Silver
510,63543,Danuta Kozk,F,21.0,168.0,63.0,Hungary,HUN,2008 Summer,2008,Summer,Beijing,Canoeing,"Canoeing Women's Kayak Fours, 500 metres",Silver
518,63636,Krzysztof Marek Koomaski,M,27.0,169.0,69.0,Poland-1,POL,2000 Summer,2000,Summer,Sydney,Canoeing,"Canoeing Men's Canadian Doubles, Slalom",Silver
522,63935,Galina Sergeyevna Kreft-Alekseyeva,F,30.0,168.0,68.0,Soviet Union,URS,1980 Summer,1980,Summer,Moskva,Canoeing,"Canoeing Women's Kayak Doubles, 500 metres",Silver
524,64037,Steffi Kriegerstein,F,23.0,178.0,70.0,Germany,GER,2016 Summer,2016,Summer,Rio de Janeiro,Canoeing,"Canoeing Women's Kayak Fours, 500 metres",Silver
525,64835,Tams Kulifai,M,23.0,187.0,82.0,Hungary,HUN,2012 Summer,2012,Summer,London,Canoeing,"Canoeing Men's Kayak Fours, 1,000 metres",Silver
526,65180,Wojciech Sawomir Kurpiewski,M,26.0,187.0,90.0,Poland,POL,1992 Summer,1992,Summer,Barcelona,Canoeing,"Canoeing Men's Kayak Doubles, 500 metres",Silver
530,65594,Francesco La Macchia,M,21.0,173.0,73.0,Italy,ITA,1960 Summer,1960,Summer,Roma,Canoeing,"Canoeing Men's Canadian Doubles, 1,000 metres",Silver
536,66784,Eirik Vers Larsen,M,32.0,182.0,80.0,Norway,NOR,2008 Summer,2008,Summer,Beijing,Canoeing,"Canoeing Men's Kayak Singles, 1,000 metres",Silver
538,67075,Hilde Lauer (-Ttaru),F,21.0,160.0,63.0,Romania,ROU,1964 Summer,1964,Summer,Tokyo,Canoeing,"Canoeing Women's Kayak Singles, 500 metres",Silver
540,67323,"Jacqueline ""Jacqui"" Lawrence",F,26.0,176.0,62.0,Australia,AUS,2008 Summer,2008,Summer,Beijing,Canoeing,"Canoeing Women's Kayak Singles, Slalom",Silver
541,67468,Marek bik,M,30.0,180.0,80.0,Poland,POL,1988 Summer,1988,Summer,Seoul,Canoeing,"Canoeing Men's Canadian Doubles, 500 metres",Silver
543,67611,Alain Jean Jacques Lebas,M,26.0,184.0,77.0,France,FRA,1980 Summer,1980,Summer,Moskva,Canoeing,"Canoeing Men's Kayak Singles, 1,000 metres",Silver
545,68275,Fabien Lefvre,M,26.0,178.0,70.0,France,FRA,2008 Summer,2008,Summer,Beijing,Canoeing,"Canoeing Men's Kayak Singles, Slalom",Silver
546,68288,Patrick Lefoulon,M,26.0,175.0,73.0,France,FRA,1984 Summer,1984,Summer,Los Angeles,Canoeing,"Canoeing Men's Kayak Doubles, 1,000 metres",Silver
548,68804,Carolin Leonhardt,F,19.0,175.0,64.0,Germany,GER,2004 Summer,2004,Summer,Athina,Canoeing,"Canoeing Women's Kayak Doubles, 500 metres",Silver
550,68804,Carolin Leonhardt,F,27.0,175.0,64.0,Germany,GER,2012 Summer,2012,Summer,London,Canoeing,"Canoeing Women's Kayak Fours, 500 metres",Silver
553,69188,Detlef Lewe,M,29.0,190.0,90.0,West Germany,FRG,1968 Summer,1968,Summer,Mexico City,Canoeing,"Canoeing Men's Canadian Singles, 1,000 metres",Silver
555,69189,"Barbara Lewe-Pohlmann-Schttpelz (-Norton, -Conrad)",F,27.0,168.0,60.0,West Germany,FRG,1984 Summer,1984,Summer,Los Angeles,Canoeing,"Canoeing Women's Kayak Singles, 500 metres",Silver
559,70331,Tibor Linka,M,21.0,199.0,95.0,Slovakia,SVK,2016 Summer,2016,Summer,Rio de Janeiro,Canoeing,"Canoeing Men's Kayak Fours, 1,000 metres",Silver
564,70769,Matija Ljubek,M,30.0,180.0,85.0,Yugoslavia,YUG,1984 Summer,1984,Summer,Los Angeles,Canoeing,"Canoeing Men's Canadian Doubles, 1,000 metres",Silver
567,71392,Jos Ramn Lpez Daz-Flor,M,25.0,180.0,81.0,Spain,ESP,1976 Summer,1976,Summer,Montreal,Canoeing,"Canoeing Men's Kayak Fours, 1,000 metres",Silver
568,72698,Lyubomir Yankov Lyubenov,M,23.0,188.0,82.0,Bulgaria,BUL,1980 Summer,1980,Summer,Moskva,Canoeing,"Canoeing Men's Canadian Singles, 500 metres",Silver
574,72884,Christopher Paul MacDonald,M,28.0,179.0,85.0,New Zealand,NZL,1988 Summer,1988,Summer,Seoul,Canoeing,"Canoeing Men's Kayak Doubles, 1,000 metres",Silver
575,73189,Uwe Madeja,M,21.0,183.0,82.0,East Germany,GDR,1980 Summer,1980,Summer,Moskva,Canoeing,"Canoeing Men's Canadian Doubles, 1,000 metres",Silver
581,73862,Vadim Gennadyevich Makhnyov,M,32.0,196.0,100.0,Belarus,BLR,2012 Summer,2012,Summer,London,Canoeing,"Canoeing Men's Kayak Doubles, 200 metres",Silver
589,75358,Gareth John Marriott,M,22.0,185.0,73.0,Great Britain,GBR,1992 Summer,1992,Summer,Barcelona,Canoeing,"Canoeing Men's Canadian Singles, Slalom",Silver
591,75508,Michal Martikn,M,21.0,170.0,73.0,Slovakia,SVK,2000 Summer,2000,Summer,Sydney,Canoeing,"Canoeing Men's Canadian Singles, Slalom",Silver
592,75508,Michal Martikn,M,25.0,170.0,73.0,Slovakia,SVK,2004 Summer,2004,Summer,Athina,Canoeing,"Canoeing Men's Canadian Singles, Slalom",Silver
597,76653,Joachim Mattern,M,28.0,178.0,72.0,East Germany,GDR,1976 Summer,1976,Summer,Montreal,Canoeing,"Canoeing Men's Kayak Doubles, 1,000 metres",Silver
602,78684,Herminio Menndez Rodrguez,M,22.0,180.0,86.0,Spain,ESP,1976 Summer,1976,Summer,Montreal,Canoeing,"Canoeing Men's Kayak Fours, 1,000 metres",Silver
603,78684,Herminio Menndez Rodrguez,M,26.0,180.0,86.0,Spain,ESP,1980 Summer,1980,Summer,Moskva,Canoeing,"Canoeing Men's Kayak Doubles, 500 metres",Silver
607,78911,Petar Khristov Merkov,M,23.0,188.0,95.0,Bulgaria,BUL,2000 Summer,2000,Summer,Sydney,Canoeing,"Canoeing Men's Kayak Singles, 500 metres",Silver
608,78911,Petar Khristov Merkov,M,23.0,188.0,95.0,Bulgaria,BUL,2000 Summer,2000,Summer,Sydney,Canoeing,"Canoeing Men's Kayak Singles, 1,000 metres",Silver
609,79082,Erika Mszros,F,22.0,176.0,66.0,Hungary,HUN,1988 Summer,1988,Summer,Seoul,Canoeing,"Canoeing Women's Kayak Fours, 500 metres",Silver
611,79086,Gyrgy Mszros,M,27.0,181.0,80.0,Hungary,HUN,1960 Summer,1960,Summer,Roma,Canoeing,"Canoeing Men's Kayak Doubles, 1,000 metres",Silver
612,79086,Gyrgy Mszros,M,27.0,181.0,80.0,Hungary,HUN,1960 Summer,1960,Summer,Roma,Canoeing,Canoeing Men's Kayak Relay 4 x 500 metres,Silver
615,79714,Beata Mikoajczyk,F,22.0,170.0,68.0,Poland,POL,2008 Summer,2008,Summer,Beijing,Canoeing,"Canoeing Women's Kayak Doubles, 500 metres",Silver
622,80736,Lars-Erik Moberg,M,26.0,185.0,88.0,Sweden,SWE,1984 Summer,1984,Summer,Los Angeles,Canoeing,"Canoeing Men's Kayak Singles, 500 metres",Silver
623,80736,Lars-Erik Moberg,M,26.0,185.0,88.0,Sweden,SWE,1984 Summer,1984,Summer,Los Angeles,Canoeing,"Canoeing Men's Kayak Doubles, 500 metres",Silver
624,80736,Lars-Erik Moberg,M,26.0,185.0,88.0,Sweden,SWE,1984 Summer,1984,Summer,Los Angeles,Canoeing,"Canoeing Men's Kayak Fours, 1,000 metres",Silver
632,82547,Oleksandr Oleksiyovych Motuzenko,M,21.0,188.0,89.0,Soviet Union,URS,1988 Summer,1988,Summer,Seoul,Canoeing,"Canoeing Men's Kayak Fours, 1,000 metres",Silver
635,83065,"Gabriela ""Gabi"" Mller (-Verbiest)",F,21.0,164.0,60.0,Switzerland,SUI,1996 Summer,1996,Summer,Atlanta,Canoeing,"Canoeing Women's Kayak Fours, 500 metres",Silver
636,83934,Denis Myk,M,20.0,189.0,90.0,Slovakia,SVK,2016 Summer,2016,Summer,Rio de Janeiro,Canoeing,"Canoeing Men's Kayak Fours, 1,000 metres",Silver
637,84204,Ihor Volodymyrovych Nahaiev,M,22.0,185.0,87.0,Soviet Union,URS,1988 Summer,1988,Summer,Seoul,Canoeing,"Canoeing Men's Kayak Doubles, 500 metres",Silver
638,84204,Ihor Volodymyrovych Nahaiev,M,22.0,185.0,87.0,Soviet Union,URS,1988 Summer,1988,Summer,Seoul,Canoeing,"Canoeing Men's Kayak Fours, 1,000 metres",Silver
639,84208,Serhiy Viktorovych Nahorniy,M,19.0,188.0,89.0,Soviet Union,URS,1976 Summer,1976,Summer,Montreal,Canoeing,"Canoeing Men's Kayak Doubles, 500 metres",Silver
645,86059,Arne Nielsson,M,30.0,172.0,60.0,Denmark,DEN,1992 Summer,1992,Summer,Barcelona,Canoeing,"Canoeing Men's Canadian Doubles, 1,000 metres",Silver
646,86392,Hans Henrik Nilsson,M,24.0,190.0,86.0,Sweden,SWE,2000 Summer,2000,Summer,Sydney,Canoeing,"Canoeing Men's Kayak Doubles, 1,000 metres",Silver
649,86537,Mirko Niovi,M,23.0,182.0,83.0,Yugoslavia,YUG,1984 Summer,1984,Summer,Los Angeles,Canoeing,"Canoeing Men's Canadian Doubles, 1,000 metres",Silver
655,87063,Anke Nothnagel-von Seck,F,25.0,174.0,70.0,Germany,GER,1992 Summer,1992,Summer,Barcelona,Canoeing,"Canoeing Women's Kayak Fours, 500 metres",Silver
659,88287,Thomas Mikael Ohlsson,M,25.0,185.0,85.0,Sweden,SWE,1984 Summer,1984,Summer,Los Angeles,Canoeing,"Canoeing Men's Kayak Fours, 1,000 metres",Silver
663,88612,Bernd Olbricht,M,19.0,189.0,85.0,East Germany,GDR,1976 Summer,1976,Summer,Montreal,Canoeing,"Canoeing Men's Kayak Doubles, 1,000 metres",Silver
672,88951,Anna Gunilla Olsson,F,20.0,165.0,58.0,Sweden,SWE,1984 Summer,1984,Summer,Los Angeles,Canoeing,"Canoeing Women's Kayak Fours, 500 metres",Silver
675,88963,Gunnar Alfred Olsson,M,32.0,185.0,80.0,Sweden,SWE,1992 Summer,1992,Summer,Barcelona,Canoeing,"Canoeing Men's Kayak Doubles, 1,000 metres",Silver
676,89254,Maksim Aleksandrovich Opalev,M,21.0,184.0,93.0,Russia,RUS,2000 Summer,2000,Summer,Sydney,Canoeing,"Canoeing Men's Canadian Singles, 500 metres",Silver
679,89257,Jerzy Janusz Opara,M,27.0,176.0,80.0,Poland,POL,1976 Summer,1976,Summer,Montreal,Canoeing,"Canoeing Men's Canadian Doubles, 500 metres",Silver
681,89712,Markus Tobias Oscarsson,M,23.0,184.0,86.0,Sweden,SWE,2000 Summer,2000,Summer,Sydney,Canoeing,"Canoeing Men's Kayak Doubles, 1,000 metres",Silver
686,89894,Inna Volodymyrivna Osypenko-Radomska,F,29.0,166.0,63.0,Ukraine,UKR,2012 Summer,2012,Summer,London,Canoeing,"Canoeing Women's Kayak Singles, 200 metres",Silver
687,89894,Inna Volodymyrivna Osypenko-Radomska,F,29.0,166.0,63.0,Ukraine,UKR,2012 Summer,2012,Summer,London,Canoeing,"Canoeing Women's Kayak Singles, 500 metres",Silver
689,90784,Diana Boneva Paliyska,F,22.0,173.0,66.0,Bulgaria,BUL,1988 Summer,1988,Summer,Seoul,Canoeing,"Canoeing Women's Kayak Doubles, 500 metres",Silver
691,91275,Ulrich Papke,M,30.0,193.0,95.0,Germany,GER,1992 Summer,1992,Summer,Barcelona,Canoeing,"Canoeing Men's Canadian Doubles, 500 metres",Silver
696,91828,Jnos Parti,M,19.0,182.0,83.0,Hungary,HUN,1952 Summer,1952,Summer,Helsinki,Canoeing,"Canoeing Men's Canadian Singles, 1,000 metres",Silver
697,91828,Jnos Parti,M,24.0,182.0,83.0,Hungary,HUN,1956 Summer,1956,Summer,Melbourne,Canoeing,"Canoeing Men's Canadian Singles, 10,000 metres",Silver
701,91977,Aneta Pastuszka-Konieczna,F,30.0,168.0,73.0,Poland,POL,2008 Summer,2008,Summer,Beijing,Canoeing,"Canoeing Women's Kayak Doubles, 500 metres",Silver
704,92142,Ivan Patzaichin,M,22.0,176.0,79.0,Romania,ROU,1972 Summer,1972,Summer,Munich,Canoeing,"Canoeing Men's Canadian Doubles, 1,000 metres",Silver
705,92142,Ivan Patzaichin,M,30.0,176.0,79.0,Romania,ROU,1980 Summer,1980,Summer,Moskva,Canoeing,"Canoeing Men's Canadian Doubles, 500 metres",Silver
707,92142,Ivan Patzaichin,M,34.0,176.0,79.0,Romania,ROU,1984 Summer,1984,Summer,Los Angeles,Canoeing,"Canoeing Men's Canadian Doubles, 500 metres",Silver
709,92228,Dniel Pauman,M,25.0,186.0,84.0,Hungary,HUN,2012 Summer,2012,Summer,London,Canoeing,"Canoeing Men's Kayak Fours, 1,000 metres",Silver
712,93199,Leobaldo O. Pereira Pulido,M,28.0,178.0,62.0,Cuba,CUB,2000 Summer,2000,Summer,Sydney,Canoeing,"Canoeing Men's Canadian Doubles, 1,000 metres",Silver
715,93483,Gnter Perleberg,M,29.0,192.0,90.0,Germany,GER,1964 Summer,1964,Summer,Tokyo,Canoeing,"Canoeing Men's Kayak Fours, 1,000 metres",Silver
716,93551,"Glorianne Aurore ""Glo"" Perrier",F,35.0,177.0,66.0,United States,USA,1964 Summer,1964,Summer,Tokyo,Canoeing,"Canoeing Women's Kayak Doubles, 500 metres",Silver
720,93931,Rolf Ingvar Peterson,M,28.0,186.0,77.0,Sweden,SWE,1972 Summer,1972,Summer,Munich,Canoeing,"Canoeing Men's Kayak Singles, 1,000 metres",Silver
723,94065,Gyula Petrikovics,M,25.0,173.0,67.0,Hungary,HUN,1968 Summer,1968,Summer,Mexico City,Canoeing,"Canoeing Men's Canadian Doubles, 1,000 metres",Silver
728,94189,Roman Ivanovich Petrushenko,M,31.0,191.0,91.0,Belarus,BLR,2012 Summer,2012,Summer,London,Canoeing,"Canoeing Men's Kayak Doubles, 200 metres",Silver
731,94336,Anna Pfeffer,F,23.0,168.0,67.0,Hungary,HUN,1968 Summer,1968,Summer,Mexico City,Canoeing,"Canoeing Women's Kayak Doubles, 500 metres",Silver
733,94336,Anna Pfeffer,F,30.0,168.0,67.0,Hungary,HUN,1976 Summer,1976,Summer,Montreal,Canoeing,"Canoeing Women's Kayak Doubles, 500 metres",Silver
734,94905,Fernando Ismael Fernandes Pimenta,M,22.0,178.0,81.0,Portugal,POR,2012 Summer,2012,Summer,London,Canoeing,"Canoeing Men's Kayak Doubles, 1,000 metres",Silver
735,95181,Igor Ivanovich Pisarev,M,25.0,180.0,78.0,Soviet Union,URS,1956 Summer,1956,Summer,Melbourne,Canoeing,"Canoeing Men's Kayak Singles, 1,000 metres",Silver
738,95890,Luk Pollert,M,26.0,186.0,72.0,Czech Republic,CZE,1996 Summer,1996,Summer,Atlanta,Canoeing,"Canoeing Men's Canadian Singles, Slalom",Silver
748,96348,Ramona Portwich,F,25.0,175.0,70.0,Germany,GER,1992 Summer,1992,Summer,Barcelona,Canoeing,"Canoeing Women's Kayak Fours, 500 metres",Silver
749,96348,Ramona Portwich,F,29.0,175.0,70.0,Germany,GER,1996 Summer,1996,Summer,Atlanta,Canoeing,"Canoeing Women's Kayak Doubles, 500 metres",Silver
752,96423,Serhiy Albertovych Postriekhin,M,22.0,195.0,87.0,Soviet Union,URS,1980 Summer,1980,Summer,Moskva,Canoeing,"Canoeing Men's Canadian Singles, 1,000 metres",Silver
754,96559,Ren Holten Poulsen,M,19.0,188.0,92.0,Denmark,DEN,2008 Summer,2008,Summer,Beijing,Canoeing,"Canoeing Men's Kayak Doubles, 1,000 metres",Silver
762,97845,Isaquias Queiroz dos Santos,M,22.0,175.0,85.0,Brazil,BRA,2016 Summer,2016,Summer,Rio de Janeiro,Canoeing,"Canoeing Men's Canadian Singles, 1,000 metres",Silver
763,97845,Isaquias Queiroz dos Santos,M,22.0,175.0,85.0,Brazil,BRA,2016 Summer,2016,Summer,Rio de Janeiro,Canoeing,"Canoeing Men's Canadian Doubles, 1,000 metres",Silver
765,98480,Andrs Rajna,M,35.0,190.0,88.0,Hungary,HUN,1996 Summer,1996,Summer,Atlanta,Canoeing,"Canoeing Men's Kayak Fours, 1,000 metres",Silver
767,98481,Klra Rajnai,F,22.0,173.0,64.0,Hungary,HUN,1976 Summer,1976,Summer,Montreal,Canoeing,"Canoeing Women's Kayak Doubles, 500 metres",Silver
769,98532,va Rakusz,F,27.0,176.0,69.0,Hungary,HUN,1988 Summer,1988,Summer,Seoul,Canoeing,"Canoeing Women's Kayak Fours, 500 metres",Silver
771,98724,Luis Gregorio Ramos Mision,M,23.0,180.0,74.0,Spain,ESP,1976 Summer,1976,Summer,Montreal,Canoeing,"Canoeing Men's Kayak Fours, 1,000 metres",Silver
773,99088,Paul Ratcliffe,M,26.0,180.0,72.0,Great Britain,GBR,2000 Summer,2000,Summer,Sydney,Canoeing,"Canoeing Men's Kayak Singles, Slalom",Silver
774,99113,Jnos Rtkai,M,21.0,177.0,78.0,Hungary,HUN,1972 Summer,1972,Summer,Munich,Canoeing,"Canoeing Men's Kayak Doubles, 1,000 metres",Silver
777,99165,Ronald Rauhe,M,26.0,179.0,82.0,Germany,GER,2008 Summer,2008,Summer,Beijing,Canoeing,"Canoeing Men's Kayak Doubles, 500 metres",Silver
789,99978,Victor Iosifovich Reneischi,M,29.0,178.0,81.0,Moldova,MDA,1996 Summer,1996,Summer,Atlanta,Canoeing,"Canoeing Men's Canadian Doubles, 500 metres",Silver
792,101039,Michal Riszdorfer,M,31.0,176.0,79.0,Slovakia,SVK,2008 Summer,2008,Summer,Beijing,Canoeing,"Canoeing Men's Kayak Fours, 1,000 metres",Silver
794,101040,Richard Riszdorfer,M,27.0,181.0,89.0,Slovakia,SVK,2008 Summer,2008,Summer,Beijing,Canoeing,"Canoeing Men's Kayak Fours, 1,000 metres",Silver
797,101425,Clint David Robinson,M,32.0,189.0,91.0,Australia,AUS,2004 Summer,2004,Summer,Athina,Canoeing,"Canoeing Men's Kayak Doubles, 500 metres",Silver
799,102009,Ji Rohan,M,27.0,178.0,75.0,Czechoslovakia-1,TCH,1992 Summer,1992,Summer,Barcelona,Canoeing,"Canoeing Men's Canadian Doubles, Slalom",Silver
800,102009,Ji Rohan,M,31.0,178.0,75.0,Czech Republic-1,CZE,1996 Summer,1996,Summer,Atlanta,Canoeing,"Canoeing Men's Canadian Doubles, Slalom",Silver
801,102073,Ibrahim Rojas Blanco,M,24.0,168.0,72.0,Cuba,CUB,2000 Summer,2000,Summer,Sydney,Canoeing,"Canoeing Men's Canadian Doubles, 1,000 metres",Silver
802,102073,Ibrahim Rojas Blanco,M,28.0,168.0,72.0,Cuba,CUB,2004 Summer,2004,Summer,Athina,Canoeing,"Canoeing Men's Canadian Doubles, 500 metres",Silver
803,102263,Vladimir Vatslavovich Romanovsky,M,19.0,170.0,75.0,Soviet Union,URS,1976 Summer,1976,Summer,Montreal,Canoeing,"Canoeing Men's Kayak Doubles, 500 metres",Silver
811,102738,Antonio Rossi,M,35.0,186.0,84.0,Italy,ITA,2004 Summer,2004,Summer,Athina,Canoeing,"Canoeing Men's Kayak Doubles, 1,000 metres",Silver
816,104275,Katalin Sgi-Rozsnyi,F,25.0,162.0,56.0,Hungary,HUN,1968 Summer,1968,Summer,Mexico City,Canoeing,"Canoeing Women's Kayak Doubles, 500 metres",Silver
818,106077,Norbert Sattler,M,20.0,168.0,68.0,Austria,AUT,1972 Summer,1972,Summer,Munich,Canoeing,"Canoeing Men's Kayak Singles, Slalom",Silver
820,106474,Daniele Scarpa,M,32.0,191.0,94.0,Italy,ITA,1996 Summer,1996,Summer,Atlanta,Canoeing,"Canoeing Men's Kayak Doubles, 500 metres",Silver
822,106549,Jan Schfer,M,25.0,194.0,85.0,Germany,GER,2000 Summer,2000,Summer,Sydney,Canoeing,"Canoeing Men's Kayak Fours, 1,000 metres",Silver
823,107105,Jrg Schmidt,M,27.0,192.0,95.0,East Germany,GDR,1988 Summer,1988,Summer,Seoul,Canoeing,"Canoeing Men's Canadian Singles, 1,000 metres",Silver
826,107368,"Jonathan Michael ""Jon"" Schofield",M,31.0,182.0,80.0,Great Britain,GBR,2016 Summer,2016,Summer,Rio de Janeiro,Canoeing,"Canoeing Men's Kayak Doubles, 200 metres",Silver
829,107698,"Bernhard ""Berni"" Schulze",M,26.0,182.0,87.0,Germany,GER,1964 Summer,1964,Summer,Tokyo,Canoeing,"Canoeing Men's Kayak Fours, 1,000 metres",Silver
830,107718,Hans-Otto Schumacher,M,22.0,181.0,80.0,West Germany-1,FRG,1972 Summer,1972,Summer,Munich,Canoeing,"Canoeing Men's Canadian Doubles, Slalom",Silver
832,107948,Afanase Sciotnic,M,30.0,182.0,77.0,Romania,ROU,1972 Summer,1972,Summer,Munich,Canoeing,"Canoeing Men's Kayak Fours, 1,000 metres",Silver
840,109247,Oleksandr Maksymovych Shaparenko,M,22.0,189.0,85.0,Soviet Union,URS,1968 Summer,1968,Summer,Mexico City,Canoeing,"Canoeing Men's Kayak Singles, 1,000 metres",Silver
847,110427,Aleksandr Pavlovich Silayev,M,32.0,179.51497584541062,179.51497584541062,Soviet Union,URS,1960 Summer,1960,Summer,Roma,Canoeing,"Canoeing Men's Canadian Singles, 1,000 metres",Silver
848,110507,Emanuel Eduardo Pimenta Vieira da Silva,M,26.0,186.0,87.0,Portugal,POR,2012 Summer,2012,Summer,London,Canoeing,"Canoeing Men's Kayak Doubles, 1,000 metres",Silver
849,110508,Erlon de Souza Silva,M,25.0,175.0,78.0,Brazil,BRA,2016 Summer,2016,Summer,Rio de Janeiro,Canoeing,"Canoeing Men's Canadian Doubles, 1,000 metres",Silver
850,110651,Miroslav imek,M,33.0,168.0,70.0,Czechoslovakia-1,TCH,1992 Summer,1992,Summer,Barcelona,Canoeing,"Canoeing Men's Canadian Doubles, Slalom",Silver
851,110651,Miroslav imek,M,37.0,168.0,70.0,Czech Republic-1,CZE,1996 Summer,1996,Summer,Atlanta,Canoeing,"Canoeing Men's Canadian Doubles, Slalom",Silver
852,110700,Gheorghe Simionov,M,26.0,167.0,71.0,Romania,ROU,1976 Summer,1976,Summer,Montreal,Canoeing,"Canoeing Men's Canadian Doubles, 1,000 metres",Silver
854,110701,Toma Simionov,M,28.0,175.0,72.0,Romania,ROU,1984 Summer,1984,Summer,Los Angeles,Canoeing,"Canoeing Men's Canadian Doubles, 500 metres",Silver
861,111969,Micha liwiski,M,18.0,178.0,82.0,Soviet Union,URS,1988 Summer,1988,Summer,Seoul,Canoeing,"Canoeing Men's Canadian Singles, 500 metres",Silver
862,111969,Micha liwiski,M,22.0,178.0,82.0,Unified Team,EUN,1992 Summer,1992,Summer,Barcelona,Canoeing,"Canoeing Men's Canadian Singles, 500 metres",Silver
871,113743,Ingo Spelly,M,21.0,184.0,79.0,East Germany,GDR,1988 Summer,1988,Summer,Seoul,Canoeing,"Canoeing Men's Canadian Doubles, 1,000 metres",Silver
872,113743,Ingo Spelly,M,25.0,184.0,79.0,Germany,GER,1992 Summer,1992,Summer,Barcelona,Canoeing,"Canoeing Men's Canadian Doubles, 500 metres",Silver
874,114188,Andreas Sthle,M,23.0,183.0,80.0,East Germany,GDR,1988 Summer,1988,Summer,Seoul,Canoeing,"Canoeing Men's Kayak Singles, 500 metres",Silver
876,114333,Micha Tomasz Staniszewski,M,26.0,179.51497584541062,78.0,Poland-1,POL,2000 Summer,2000,Summer,Sydney,Canoeing,"Canoeing Men's Canadian Doubles, Slalom",Silver
879,114946,Ondej tpnek,M,28.0,173.0,78.0,Czech Republic,CZE,2008 Summer,2008,Summer,Beijing,Canoeing,"Canoeing Men's Canadian Doubles, Slalom",Silver
891,116307,Jevgenijus uklinas,M,26.0,196.0,109.0,Lithuania,LTU,2012 Summer,2012,Summer,London,Canoeing,"Canoeing Men's Canadian Singles, 200 metres",Silver
892,116419,John Zoltan Sumegi,M,25.0,182.0,85.0,Australia,AUS,1980 Summer,1980,Summer,Moskva,Canoeing,"Canoeing Men's Kayak Singles, 500 metres",Silver
893,116572,Karl-Axel Sundqvist,M,29.0,184.0,88.0,Sweden,SWE,1992 Summer,1992,Summer,Barcelona,Canoeing,"Canoeing Men's Kayak Doubles, 1,000 metres",Silver
894,117322,Gabriella Timea Szab,F,21.0,170.0,62.0,Hungary,HUN,2008 Summer,2008,Summer,Beijing,Canoeing,"Canoeing Women's Kayak Fours, 500 metres",Silver
899,117327,Istvn Szab,M,30.0,170.0,69.0,Hungary,HUN,1980 Summer,1980,Summer,Moskva,Canoeing,"Canoeing Men's Kayak Doubles, 1,000 metres",Silver
900,117353,Szilvia Szab,F,21.0,170.0,65.0,Hungary,HUN,2000 Summer,2000,Summer,Sydney,Canoeing,"Canoeing Women's Kayak Doubles, 500 metres",Silver
901,117353,Szilvia Szab,F,21.0,170.0,65.0,Hungary,HUN,2000 Summer,2000,Summer,Sydney,Canoeing,"Canoeing Women's Kayak Fours, 500 metres",Silver
902,117353,Szilvia Szab,F,25.0,170.0,65.0,Hungary,HUN,2004 Summer,2004,Summer,Athina,Canoeing,"Canoeing Women's Kayak Fours, 500 metres",Silver
903,117486,Andrs Szente,M,20.0,179.0,79.0,Hungary,HUN,1960 Summer,1960,Summer,Roma,Canoeing,"Canoeing Men's Kayak Doubles, 1,000 metres",Silver
904,117486,Andrs Szente,M,20.0,179.0,79.0,Hungary,HUN,1960 Summer,1960,Summer,Roma,Canoeing,Canoeing Men's Kayak Relay 4 x 500 metres,Silver
905,117577,Imre Szllsi,M,19.0,183.0,83.0,Hungary,HUN,1960 Summer,1960,Summer,Roma,Canoeing,"Canoeing Men's Kayak Singles, 1,000 metres",Silver
906,117577,Imre Szllsi,M,19.0,183.0,83.0,Hungary,HUN,1960 Summer,1960,Summer,Roma,Canoeing,Canoeing Men's Kayak Relay 4 x 500 metres,Silver
908,117609,Zoltn Sztanity,M,22.0,183.0,82.0,Hungary,HUN,1976 Summer,1976,Summer,Montreal,Canoeing,"Canoeing Men's Kayak Singles, 500 metres",Silver
911,118645,Juraj Tarr,M,29.0,190.0,88.0,Slovakia,SVK,2008 Summer,2008,Summer,Beijing,Canoeing,"Canoeing Men's Kayak Fours, 1,000 metres",Silver
912,118645,Juraj Tarr,M,37.0,190.0,88.0,Slovakia,SVK,2016 Summer,2016,Summer,Rio de Janeiro,Canoeing,"Canoeing Men's Kayak Fours, 1,000 metres",Silver
913,118690,Sideris Tasiadis,M,22.0,179.0,79.0,Germany,GER,2012 Summer,2012,Summer,London,Canoeing,"Canoeing Men's Canadian Singles, Slalom",Silver
918,120371,Istvn Timr-Geng,M,28.0,178.0,79.0,Hungary,HUN,1968 Summer,1968,Summer,Mexico City,Canoeing,"Canoeing Men's Kayak Doubles, 1,000 metres",Silver
